# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sun Nov 13 15:10:53 CET 2022
# PARSEC isochrones, release v1.0 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.60000 2.5444610119 2.5861176299    2.544  1.588  3.9980  4.199    0 0.799 0.932 1.019 1.035 1.047 1.066 1.104 1.117 1.125
0.0152 0.01508 6.60000 2.5898332596 2.5872038709    2.590  1.646  4.0118  4.205    0 0.656 0.796 0.924 0.958 0.976 1.003 1.057 1.075 1.087
0.0152 0.01508 6.60000 2.5999999046 2.5874412955    2.600  1.662  4.0162  4.207    0 0.614 0.757 0.898 0.937 0.958 0.987 1.046 1.065 1.078
0.0152 0.01508 6.60000 2.6210911274 2.5879270967    2.621  1.698  4.0255  4.213    0 0.526 0.677 0.847 0.895 0.920 0.953 1.022 1.045 1.061
0.0152 0.01508 6.60000 2.6435730457 2.5884351269    2.644  1.741  4.0382  4.224    0 0.417 0.580 0.790 0.850 0.878 0.918 1.000 1.027 1.046
0.0152 0.01508 6.60000 2.6611030102 2.5888244144    2.661  1.778  4.0496  4.236    0 0.326 0.502 0.748 0.817 0.849 0.893 0.987 1.017 1.040
0.0152 0.01508 6.60000 2.6759986877 2.5891505969    2.676  1.808  4.0596  4.248    0 0.251 0.441 0.718 0.794 0.829 0.877 0.981 1.015 1.039
0.0152 0.01508 6.60000 2.6956746578 2.5895751091    2.696  1.837  4.0712  4.268    0 0.177 0.386 0.698 0.782 0.819 0.872 0.987 1.023 1.051
0.0152 0.01508 6.60000 2.7358524799 2.5904201830    2.736  1.850  4.0834  4.311    0 0.145 0.378 0.726 0.815 0.856 0.913 1.040 1.079 1.109
0.0152 0.01508 6.60000 2.7696013451 2.5911082875    2.770  1.843  4.0875  4.340    0 0.163 0.404 0.764 0.855 0.897 0.955 1.086 1.126 1.157
0.0152 0.01508 6.60000 2.8000001907 2.5917117867    2.800  1.844  4.0894  4.351    0 0.160 0.407 0.771 0.863 0.905 0.964 1.096 1.137 1.169
0.0152 0.01508 6.60000 2.8919603825 2.5934489462    2.892  1.867  4.0945  4.362    0 0.102 0.360 0.738 0.833 0.876 0.937 1.074 1.116 1.149
0.0152 0.01508 6.60000 2.9202818871 2.5939586731    2.921  1.875  4.0961  4.364    0 0.082 0.343 0.725 0.821 0.864 0.926 1.064 1.107 1.140
0.0152 0.01508 6.60000 3.0000000000 2.5953341962    3.000  1.920  4.1041  4.363    0 -0.030 0.247 0.653 0.753 0.798 0.863 1.008 1.053 1.087
0.0152 0.01508 6.60000 3.2000000477 2.5984409005    3.199  2.027  4.1229  4.360    0 -0.296 0.025 0.483 0.593 0.642 0.712 0.873 0.922 0.960
0.0152 0.01508 6.60000 3.4000000954 2.6011310876    3.398  2.126  4.1403  4.357    0 -0.545 -0.178 0.324 0.443 0.496 0.572 0.747 0.799 0.841
0.0152 0.01508 6.60000 3.6000001431 2.6034804607    3.598  2.219  4.1564  4.353    0 -0.777 -0.364 0.177 0.304 0.361 0.441 0.628 0.684 0.729
0.0152 0.01508 6.60000 3.8000001907 2.6055477311    3.798  2.307  4.1714  4.348    0 -0.997 -0.538 0.037 0.172 0.232 0.317 0.515 0.574 0.621
0.0152 0.01508 6.60000 4.0000000000 2.6073790840    4.001  2.389  4.1855  4.345    0 -1.203 -0.697 -0.092 0.050 0.113 0.203 0.410 0.473 0.522
0.0152 0.01508 6.60000 4.1999998093 2.6090113217    4.198  2.468  4.1988  4.341    0 -1.399 -0.848 -0.215 -0.066 0.000 0.094 0.310 0.375 0.427
0.0152 0.01508 6.60000 4.4000000954 2.6104741055    4.397  2.542  4.2111  4.336    0 -1.584 -0.990 -0.333 -0.178 -0.109 -0.012 0.213 0.281 0.334
0.0152 0.01508 6.60000 4.5999999046 2.6117915791    4.597  2.612  4.2227  4.331    0 -1.760 -1.124 -0.445 -0.284 -0.212 -0.112 0.121 0.190 0.246
0.0152 0.01508 6.60000 4.8000001907 2.6129836005    4.798  2.680  4.2338  4.327    0 -1.929 -1.253 -0.554 -0.387 -0.312 -0.208 0.031 0.103 0.161
0.0152 0.01508 6.60000 4.9462680817 2.6137855431    4.945  2.726  4.2412  4.323    0 -2.045 -1.343 -0.630 -0.460 -0.383 -0.277 -0.033 0.041 0.100
0.0152 0.01508 6.60000 5.0000000000 2.6140666223    4.999  2.743  4.2439  4.321    0 -2.087 -1.375 -0.657 -0.486 -0.408 -0.301 -0.055 0.019 0.079
0.0152 0.01508 6.60000 5.1999998093 2.6150544000    5.200  2.804  4.2538  4.317    0 -2.241 -1.491 -0.756 -0.580 -0.499 -0.389 -0.137 -0.061 0.000
0.0152 0.01508 6.60000 5.3999996185 2.6159585084    5.401  2.863  4.2630  4.312    0 -2.387 -1.604 -0.852 -0.671 -0.589 -0.476 -0.218 -0.140 -0.077
0.0152 0.01508 6.60000 5.5999994278 2.6167887546    5.601  2.919  4.2718  4.306    0 -2.528 -1.712 -0.945 -0.760 -0.676 -0.560 -0.297 -0.217 -0.152
0.0152 0.01508 6.60000 5.8000001907 2.6175535027    5.801  2.974  4.2806  4.302    0 -2.664 -1.816 -1.033 -0.845 -0.758 -0.639 -0.371 -0.289 -0.223
